agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
153,153,92,94,92,94,422.04,423.20,1.16,1,1,10.00,1,0,0.56,
154,154,104,94,104,94,422.04,424.20,2.16,1,1,10.00,1,5,1.68,
155,155,77,94,77,94,422.04,428.20,6.16,1,1,10.00,1,5,3.31,
156,156,57,94,57,94,422.04,427.70,5.66,1,1,10.00,1,10,3.98,
157,157,16,94,16,94,422.04,428.10,6.06,1,1,10.00,1,0,4.21,
158,158,57,94,57,94,422.12,428.10,5.98,1,1,10.00,1,15,3.98,
159,159,92,94,92,94,422.12,423.20,1.08,1,1,10.00,1,5,0.56,
160,160,104,94,104,94,422.12,424.30,2.18,1,1,10.00,1,5,1.68,
161,161,77,94,77,94,422.12,428.20,6.08,1,1,10.00,1,15,3.92,
162,162,16,94,16,94,422.12,428.50,6.38,1,1,10.00,1,0,4.21,
163,163,77,94,77,94,422.20,428.50,6.30,1,1,10.00,1,15,3.92,
164,164,57,94,57,94,422.20,428.20,6.00,1,1,10.00,1,0,3.98,
165,165,104,94,104,94,422.20,424.40,2.20,1,1,10.00,1,10,1.68,
166,166,16,94,16,94,422.20,428.60,6.40,1,1,10.00,1,10,4.21,
167,167,92,94,92,94,422.20,423.20,1.00,1,1,10.00,1,5,0.56,
168,168,104,94,104,94,422.27,424.60,2.33,1,1,10.00,1,10,1.68,
169,169,92,94,92,94,422.27,423.30,1.03,1,1,10.00,1,10,0.56,
170,170,77,94,77,94,422.27,428.50,6.23,1,1,10.00,1,0,3.92,
171,171,57,94,57,94,422.27,429.10,6.83,1,1,10.00,1,5,3.37,
172,172,16,94,16,94,422.27,427.90,5.63,1,1,10.00,1,10,3.96,
173,173,24,178,24,178,422.30,425.70,3.40,1,1,10.00,1,10,1.71,
174,174,24,454,24,454,422.33,423.60,1.27,1,1,10.00,1,5,0.61,
175,175,16,94,16,94,422.35,429.10,6.75,1,1,10.00,1,5,4.21,
176,176,77,94,77,94,422.35,428.60,6.25,1,1,10.00,1,15,3.92,
177,177,57,94,57,94,422.35,428.90,6.55,1,1,10.00,1,10,3.98,
178,178,104,94,104,94,422.35,424.70,2.35,1,1,10.00,1,5,1.68,
179,179,92,94,92,94,422.35,423.50,1.15,1,1,10.00,1,15,0.56,
180,180,104,132,104,132,422.37,428.90,6.53,1,1,10.00,1,5,5.49,
181,181,104,94,104,94,422.42,424.80,2.38,1,1,10.00,1,5,1.68,
182,182,77,94,77,94,422.42,428.90,6.48,1,1,10.00,1,5,3.92,
183,183,57,94,57,94,422.42,428.90,6.48,1,1,10.00,1,0,3.98,
184,184,92,94,92,94,422.42,423.50,1.08,1,1,10.00,1,5,0.56,
185,185,16,94,16,94,422.42,429.20,6.78,1,1,10.00,1,10,4.21,
186,186,77,127,77,127,422.45,427.60,5.15,1,1,10.00,1,0,4.23,
187,187,77,126,77,126,422.45,427.50,5.05,1,1,10.00,1,0,4.17,
188,188,92,130,92,130,422.45,427.20,4.75,1,1,10.00,1,5,3.75,
189,189,57,130,57,130,422.45,427.40,4.95,1,1,10.00,1,0,3.84,
190,190,77,124,77,124,422.45,427.40,4.95,1,1,10.00,1,5,4.05,
191,191,92,125,92,125,422.45,427.90,5.45,1,1,10.00,1,15,4.61,
192,192,104,126,104,126,422.45,427.70,5.25,1,1,10.00,1,5,4.48,
193,193,16,125,16,125,422.45,424.20,1.75,1,1,10.00,1,10,1.04,
194,194,16,124,16,124,422.45,424.10,1.65,1,1,10.00,1,15,1.00,
195,195,16,128,16,128,422.45,424.40,1.95,1,1,10.00,1,10,0.71,
196,196,77,130,77,130,422.45,427.50,5.05,1,1,10.00,1,15,3.90,
197,197,92,127,92,127,422.45,428.20,5.75,1,1,10.00,1,15,4.78,
198,198,57,129,57,129,422.45,427.80,5.35,1,1,10.00,1,15,4.03,
199,199,104,125,104,125,422.45,428.70,6.25,1,1,10.00,1,0,5.59,
200,200,57,128,57,128,422.45,428.10,5.65,1,1,10.00,1,5,4.44,
201,201,16,127,16,127,422.45,424.40,1.95,1,1,10.00,1,0,1.19,
202,202,57,127,57,127,422.45,427.40,4.95,1,1,10.00,1,15,4.17,
203,203,92,129,92,129,422.45,428.40,5.95,1,1,10.00,1,5,4.59,
204,204,92,124,92,124,422.45,426.50,4.05,1,1,10.00,1,15,3.38,
205,205,57,126,57,126,422.45,427.30,4.85,1,1,10.00,1,10,4.11,
206,206,16,130,16,130,422.45,424.20,1.75,1,1,10.00,1,15,0.58,
207,207,16,126,16,126,422.45,424.30,1.85,1,1,10.00,1,0,1.12,
208,208,92,126,92,126,422.45,426.70,4.25,1,1,10.00,1,0,3.50,
209,209,104,129,104,129,422.45,429.80,7.35,1,1,10.00,1,10,5.76,
210,210,104,130,104,130,422.45,429.30,6.85,1,1,10.00,1,0,5.62,
211,211,77,129,77,129,422.45,428.00,5.55,1,1,10.00,1,15,4.13,
212,212,92,128,92,128,422.45,428.50,6.05,1,1,10.00,1,0,4.58,
213,213,77,128,77,128,422.45,427.70,5.25,1,1,10.00,1,15,4.02,
214,214,16,129,16,129,422.45,424.50,2.05,1,1,10.00,1,10,0.77,
215,215,104,128,104,128,422.45,428.00,5.55,1,1,10.00,1,0,4.61,
216,216,57,125,57,125,422.45,427.20,4.75,1,1,10.00,1,0,4.05,
217,217,104,124,104,124,422.45,427.50,5.05,1,1,10.00,1,0,4.36,
218,218,77,125,77,125,422.45,427.50,5.05,1,1,10.00,1,5,4.11,
219,219,57,124,57,124,422.45,427.40,4.95,1,1,10.00,1,10,4.18,
220,220,104,127,104,127,422.45,428.00,5.55,1,1,10.00,1,15,4.54,
221,221,77,482,77,482,422.47,425.20,2.73,1,1,10.00,1,0,2.08,
222,222,92,481,92,481,422.49,427.70,5.21,1,1,10.00,1,15,4.53,
223,223,16,94,16,94,422.50,428.60,6.10,1,1,10.00,1,0,3.96,
224,224,57,94,57,94,422.50,429.00,6.50,1,1,10.00,1,15,3.98,
225,225,104,94,104,94,422.50,424.80,2.30,1,1,10.00,1,5,1.68,
226,226,92,94,92,94,422.50,423.50,1.00,1,1,10.00,1,10,0.56,
227,227,77,94,77,94,422.50,429.20,6.70,1,1,10.00,1,0,3.92,
228,228,16,94,16,94,422.57,428.70,6.13,1,1,10.00,1,0,3.96,
229,229,104,94,104,94,422.57,425.00,2.43,1,1,10.00,1,0,1.68,
230,230,92,94,92,94,422.57,423.60,1.03,1,1,10.00,1,0,0.56,
231,231,57,94,57,94,422.57,429.20,6.63,1,1,10.00,1,10,3.98,
232,232,77,94,77,94,422.57,429.20,6.63,1,1,10.00,1,10,3.92,
233,233,77,295,77,295,422.58,425.80,3.22,1,1,10.00,1,10,2.83,
234,234,16,94,16,94,422.65,429.40,6.75,1,1,10.00,1,5,4.21,
235,235,104,94,104,94,422.65,425.20,2.55,1,1,10.00,1,5,1.68,
236,236,77,94,77,94,422.65,429.50,6.85,1,1,10.00,1,0,3.31,
237,237,92,94,92,94,422.65,423.70,1.05,1,1,10.00,1,10,0.56,
238,238,57,94,57,94,422.65,429.40,6.75,1,1,10.00,1,0,3.98,
239,239,24,110,24,110,422.65,426.00,3.35,1,1,10.00,1,10,2.21,
240,240,92,1,92,1,422.68,428.50,5.82,1,1,10.00,1,10,5.32,
241,241,57,94,57,94,422.73,429.40,6.67,1,1,10.00,1,5,3.98,
242,242,16,94,16,94,422.73,429.60,6.87,1,1,10.00,1,10,4.21,
243,243,92,94,92,94,422.73,423.80,1.07,1,1,10.00,1,10,0.56,
244,244,104,94,104,94,422.73,425.20,2.47,1,1,10.00,1,0,1.68,
245,245,77,94,77,94,422.73,429.70,6.97,1,1,10.00,1,10,3.31,
246,246,104,94,104,94,422.80,425.30,2.50,1,1,10.00,1,10,1.68,
247,247,57,94,57,94,422.80,429.50,6.70,1,1,10.00,1,10,3.98,
248,248,16,94,16,94,422.80,429.30,6.50,1,1,10.00,1,10,3.96,
249,249,92,94,92,94,422.80,424.00,1.20,1,1,10.00,1,15,0.56,
250,250,77,94,77,94,422.80,429.80,7.00,1,1,10.00,1,15,3.92,
251,251,57,94,57,94,422.88,429.80,6.92,1,1,10.00,1,10,3.98,
252,252,92,94,92,94,422.88,424.00,1.12,1,1,10.00,1,5,0.56,
253,253,104,94,104,94,422.88,425.40,2.52,1,1,10.00,1,0,1.68,
254,254,77,94,77,94,422.88,429.90,7.02,1,1,10.00,1,15,3.31,
255,255,16,94,16,94,422.88,429.30,6.42,1,1,10.00,1,10,3.96,
256,256,16,94,16,94,422.95,430.00,7.05,1,1,10.00,1,10,4.21,
257,257,104,94,104,94,422.95,425.60,2.65,1,1,10.00,1,0,1.68,
258,258,92,94,92,94,422.95,424.00,1.05,1,1,10.00,1,10,0.56,
259,259,77,94,77,94,422.95,429.80,6.85,1,1,10.00,1,0,3.92,
260,260,57,94,57,94,422.95,430.20,7.25,1,1,10.00,1,10,3.37,
261,261,57,43,57,43,422.95,425.10,2.15,1,1,10.00,1,10,2.09,
262,262,57,94,57,94,423.03,430.80,7.77,1,1,10.00,1,10,3.37,
263,263,16,94,16,94,423.03,429.60,6.57,1,1,10.00,1,15,3.96,
264,264,77,94,77,94,423.03,430.20,7.17,1,1,10.00,1,10,3.31,
265,265,92,94,92,94,423.03,424.10,1.07,1,1,10.00,1,5,0.56,
266,266,104,94,104,94,423.03,425.70,2.67,1,1,10.00,1,10,1.68,
267,267,92,94,92,94,423.10,424.30,1.20,1,1,10.00,1,5,0.56,
268,268,104,94,104,94,423.10,425.90,2.80,1,1,10.00,1,10,1.81,
269,269,77,94,77,94,423.10,430.00,6.90,1,1,10.00,1,15,3.92,
270,270,57,94,57,94,423.10,430.10,7.00,1,1,10.00,1,10,3.98,
271,271,16,94,16,94,423.10,429.70,6.60,1,1,10.00,1,10,3.96,
272,272,92,88,92,88,423.16,426.40,3.24,1,1,10.00,1,5,1.56,
273,273,77,88,77,88,423.16,427.40,4.24,1,1,10.00,1,0,2.60,
274,274,92,59,92,59,423.16,428.30,5.14,1,1,10.00,1,5,4.01,
275,275,16,59,16,59,423.16,427.70,4.54,1,1,10.00,1,5,3.33,
276,276,104,88,104,88,423.16,426.50,3.34,1,1,10.00,1,5,1.56,
277,277,16,88,16,88,423.16,430.10,6.94,1,1,10.00,1,5,5.16,
278,278,104,59,104,59,423.16,426.70,3.54,1,1,10.00,1,5,2.92,
279,279,57,88,57,88,423.16,427.40,4.24,1,1,10.00,1,15,2.66,
280,280,77,59,77,59,423.16,425.40,2.24,1,1,10.00,1,10,1.47,
281,281,57,59,57,59,423.16,425.20,2.04,1,1,10.00,1,15,1.40,
282,282,104,94,104,94,423.18,425.80,2.62,1,1,10.00,1,0,1.68,
283,283,57,94,57,94,423.18,430.10,6.92,1,1,10.00,1,10,3.98,
284,284,77,94,77,94,423.18,430.50,7.32,1,1,10.00,1,5,3.31,
285,285,92,94,92,94,423.18,424.30,1.12,1,1,10.00,1,0,0.56,
286,286,16,94,16,94,423.18,429.80,6.62,1,1,10.00,1,15,3.96,
287,287,24,124,24,124,423.18,426.40,3.22,1,1,10.00,1,0,2.14,
288,288,92,94,92,94,423.26,424.40,1.14,1,1,10.00,1,5,0.56,
289,289,77,94,77,94,423.26,430.10,6.84,1,1,10.00,1,15,3.92,
290,290,16,94,16,94,423.26,430.00,6.74,1,1,10.00,1,15,3.96,
291,291,57,94,57,94,423.26,431.00,7.74,1,1,10.00,1,5,3.98,
292,292,104,94,104,94,423.26,426.10,2.84,1,1,10.00,1,5,1.68,
293,293,57,503,57,503,423.29,425.80,2.51,1,1,10.00,1,5,1.98,
294,294,77,331,77,331,423.29,426.80,3.51,1,1,10.00,1,5,2.95,
295,295,77,43,77,43,423.33,425.60,2.27,1,1,10.00,1,10,2.15,
296,296,57,94,57,94,423.33,431.00,7.67,1,1,10.00,1,10,3.37,
297,297,92,94,92,94,423.33,424.40,1.07,1,1,10.00,1,10,0.56,
298,298,77,94,77,94,423.33,431.10,7.77,1,1,10.00,1,5,3.92,
299,299,104,94,104,94,423.33,426.30,2.97,1,1,10.00,1,10,1.68,
300,300,16,94,16,94,423.33,430.10,6.77,1,1,10.00,1,15,3.96,
301,301,104,94,104,94,423.41,426.30,2.89,1,1,10.00,1,15,1.68,
302,302,16,94,16,94,423.41,431.00,7.59,1,1,10.00,1,0,4.21,
303,303,57,94,57,94,423.41,431.40,7.99,1,1,10.00,1,5,3.98,
304,304,92,94,92,94,423.41,424.50,1.09,1,1,10.00,1,15,0.56,
305,305,77,94,77,94,423.41,431.30,7.89,1,1,10.00,1,5,3.31,
306,306,57,94,57,94,423.48,431.50,8.02,1,1,10.00,1,15,3.98,
307,307,104,94,104,94,423.48,426.40,2.92,1,1,10.00,1,15,1.68,
308,308,92,94,92,94,423.48,424.80,1.32,1,1,10.00,1,0,0.56,
309,309,16,94,16,94,423.48,430.40,6.92,1,1,10.00,1,10,3.96,
310,310,77,94,77,94,423.48,431.50,8.02,1,1,10.00,1,10,3.92,
311,311,57,94,57,94,423.56,431.80,8.24,1,1,10.00,1,10,3.98,
312,312,104,94,104,94,423.56,426.60,3.04,1,1,10.00,1,5,1.68,
313,313,92,94,92,94,423.56,424.80,1.24,1,1,10.00,1,10,0.56,
314,314,16,94,16,94,423.56,430.50,6.94,1,1,10.00,1,0,3.96,
315,315,77,94,77,94,423.56,431.40,7.84,1,1,10.00,1,10,3.31,
316,316,16,94,16,94,423.63,431.30,7.67,1,1,10.00,1,10,4.21,
317,317,77,94,77,94,423.63,431.70,8.07,1,1,10.00,1,0,3.31,
318,318,104,94,104,94,423.63,426.80,3.17,1,1,10.00,1,10,1.68,
319,319,92,94,92,94,423.63,424.90,1.27,1,1,10.00,1,0,0.56,
320,320,57,94,57,94,423.63,431.80,8.17,1,1,10.00,1,15,3.98,
321,321,16,301,16,301,423.64,426.90,3.26,1,1,10.00,1,15,1.09,
322,322,77,288,77,288,423.64,427.70,4.06,1,1,10.00,1,0,3.27,
323,323,16,159,16,159,423.64,426.40,2.76,1,1,10.00,1,10,1.44,
324,324,16,419,16,419,423.64,426.40,2.76,1,1,10.00,1,10,2.16,
325,325,92,380,92,380,423.64,429.50,5.86,1,1,10.00,1,0,4.48,
326,326,77,194,77,194,423.64,429.00,5.36,1,1,10.00,1,0,3.95,
327,327,57,204,57,204,423.64,428.80,5.16,1,1,10.00,1,0,4.23,
328,328,104,330,104,330,423.64,429.50,5.86,1,1,10.00,1,5,4.82,
329,329,77,193,77,193,423.64,428.80,5.16,1,1,10.00,1,15,3.80,
330,330,104,271,104,271,423.64,429.40,5.76,1,1,10.00,1,10,4.42,
