link_id,NT,EM,LM,EA,EV
346,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
347,19.4586518132,480.494820536,567.576317511,375.771988018,40.6194674379
348,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
349,12.1954317519,289.55219786,355.556535459,257.41641878,30.3018012109
350,5.44741504596,143.206967007,159.014836539,88.7666769288,7.73824967025
351,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
352,5.44741504596,143.206967007,159.014836539,88.7666769288,7.73824967025
353,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
354,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
355,4.93221169059,98.6095751831,143.536753408,139.060849541,19.9841349839
356,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
357,3.63161003064,95.4713113382,106.009891026,59.1777846192,5.1588331135
358,81.4598165017,726.572881379,849.040729783,808.328169982,594.927459096
359,461.456128652,73.7059968843,402.215246794,1068.3611496,2111.87450749
360,21.7896601838,572.827868029,636.059346154,355.066707715,30.952998681
361,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
362,0.0,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0,0.0
366,3.63161003064,95.4713113382,106.009891026,59.1777846192,5.1588331135
367,457.554323672,64.2912053496,289.634659649,828.711954835,2067.39860189
368,178.102566446,437.367212214,612.441678128,1344.98994065,1690.63367297
369,454.953120352,58.0146776597,214.580934885,668.945824991,2037.74799815
370,187.181591522,676.04549056,877.466405692,1492.93440219,1703.53075575
371,577.145311229,92.9170620668,512.150774088,1355.42220323,2643.54945984
372,8.04861836586,149.483494697,234.068561303,248.532806773,37.3888534111
373,16.0972367317,298.966989394,468.137122605,497.065613545,74.7777068221
374,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
375,9.10421161965,21.9678469146,262.688036673,559.181454453,103.777113093
376,13.4960334118,292.690461704,393.083397841,337.299483701,45.1271030813
377,9.10421161965,21.9678469146,262.688036673,559.181454453,103.777113093
378,16.3422451379,429.620901022,477.044509616,266.300030786,23.2147490108
379,13.0060165995,31.3826384494,375.268623819,798.830649219,148.253018704
380,16.3422451379,429.620901022,477.044509616,266.300030786,23.2147490108
381,13.0060165995,31.3826384494,375.268623819,798.830649219,148.253018704
382,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
383,3.63161003064,95.4713113382,106.009891026,59.1777846192,5.1588331135
384,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
385,3.63161003064,95.4713113382,106.009891026,59.1777846192,5.1588331135
386,5.44741504596,143.206967007,159.014836539,88.7666769288,7.73824967025
387,0.0,0.0,0.0,0.0,0.0
388,1.81580501532,47.7356556691,53.0049455129,29.5888923096,2.57941655675
389,0.0,0.0,0.0,0.0,0.0
390,7.8036099597,18.8295830696,225.161174291,479.298389531,88.9518112224
391,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
392,7.53341501049,104.886102873,218.590478172,298.826979385,49.6347387247
393,8.04861836586,149.483494697,234.068561303,248.532806773,37.3888534111
394,7.53341501049,104.886102873,218.590478172,298.826979385,49.6347387247
395,8.04861836586,149.483494697,234.068561303,248.532806773,37.3888534111
396,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
397,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
398,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
399,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
400,2.6012033199,6.27652768988,75.0537247638,159.766129844,29.6506037408
401,1.81580501532,47.7356556691,53.0049455129,29.5888923096,2.57941655675
402,2.6012033199,6.27652768988,75.0537247638,159.766129844,29.6506037408
403,1.81580501532,47.7356556691,53.0049455129,29.5888923096,2.57941655675
404,8.56382172123,194.080886521,249.546644434,198.23863416,25.1429680974
405,0.0,0.0,0.0,0.0,0.0
406,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
407,0.0,0.0,0.0,0.0,0.0
408,9.0790250766,238.678278345,265.024727564,147.944461548,12.8970827838
409,3.90180497985,9.41479153482,112.580587146,239.649194766,44.4759056112
410,345.116645244,52.9257997796,273.516288309,741.358563509,1572.78690422
411,189.905299045,747.648974063,956.973823961,1537.31774066,1707.39988058
412,343.030645279,91.2466639139,213.940646676,531.298261053,1530.89041517
413,176.164257227,324.304600731,554.983039109,1430.78383971,1713.83573531
414,341.214840264,43.5110082448,160.935701164,501.709368743,1528.31099861
415,176.679460583,368.901992555,570.46112224,1380.4896671,1701.58985
416,342.245246975,132.705791893,191.891867426,401.121023519,1503.81922798
417,61.7561562824,115.424149215,272.557025261,663.321764723,605.87094947
418,342.245246975,132.705791893,191.891867426,401.121023519,1503.81922798
419,61.7561562824,115.424149215,272.557025261,663.321764723,605.87094947
420,1.30060165995,3.13826384492,37.5268623818,79.8830649216,14.8253018703
421,2.72370752297,71.6034835035,79.5074182689,44.3833384644,3.86912483511
422,1.95090248992,4.7073957674,56.2902935728,119.824597383,22.2379528056
423,0.0,0.0,0.0,0.0,0.0
424,3.25150414987,7.84565961232,93.8171559546,199.707662304,37.0632546759
425,0.907902507656,23.8678278345,26.5024727563,14.7944461548,1.28970827837
426,1.81580501531,47.735655669,53.0049455126,29.5888923096,2.57941655674
